id,closed,title,url,created_at,updated_at,user,labels,reactions
2491928417,false,Normative references to discontinued specs in Server Timing,https://github.com/w3c/server-timing/issues/98,2024-08-28T12:21:11Z,2024-09-10T14:40:29Z,dontcallmedom-bot,,0
2224744860,true,Broken references in Server Timing,https://github.com/w3c/server-timing/issues/96,2024-04-04T07:48:52Z,2024-05-24T19:43:20Z,dontcallmedom-bot,,0
2149189185,false,PerformanceServerTiming entry always has a duration field even when the original header did not,https://github.com/w3c/server-timing/issues/95,2024-02-22T14:22:27Z,2024-03-13T12:38:37Z,andydavies,,0
1559769515,true,Broken references in Server Timing,https://github.com/w3c/server-timing/issues/91,2023-01-27T13:25:45Z,2023-03-17T15:13:30Z,dontcallmedom-bot,,0
1352696895,true,Privacy and Security section should mention that a user agent may choose to not expose cross-origin PerformanceServerTiming entries even with TAO,https://github.com/w3c/server-timing/issues/89,2022-08-26T20:17:43Z,2023-03-03T20:00:16Z,achristensen07,,2
1339171179,true,Spec is broken,https://github.com/w3c/server-timing/issues/88,2022-08-15T15:55:44Z,2022-08-15T16:00:11Z,npm1,,0
1035478945,true,Make it clearer what the units for `duration` are,https://github.com/w3c/server-timing/issues/86,2021-10-25T19:11:59Z,2023-04-11T13:03:48Z,npm1,,0
1035477790,true,Should PerformanceServerTiming inherit from PerformanceEntry?,https://github.com/w3c/server-timing/issues/85,2021-10-25T19:10:43Z,2022-08-15T15:06:48Z,npm1,,0
1010680421,true,Server-Timing header field isn't registered,https://github.com/w3c/server-timing/issues/83,2021-09-29T08:54:28Z,2021-12-09T08:37:23Z,mnot,,0
861298451,true,Clarify security context for PerformanceResourceTiming,https://github.com/w3c/server-timing/issues/79,2021-04-19T13:15:31Z,2022-02-07T11:32:05Z,fred-wang,definition,0
794619630,true,Nested hierarchy and grouping of sub-tasks,https://github.com/w3c/server-timing/issues/78,2021-01-26T22:53:21Z,2022-08-15T15:04:49Z,ibnesayeed,question,1
686728510,false,"Server-Timing is too limited in scope, rename to Server-Metrics",https://github.com/w3c/server-timing/issues/77,2020-08-26T22:53:21Z,2023-05-09T01:03:37Z,plutora-steve-g,enhancement,5
603081159,true,Respec errors,https://github.com/w3c/server-timing/issues/73,2020-04-20T09:21:36Z,2020-04-20T12:13:23Z,yoavweiss,,0
597792388,false,API for fetching other metadata,https://github.com/w3c/server-timing/issues/72,2020-04-10T09:22:43Z,2021-06-22T11:43:51Z,hauleth,enhancement,0
553033917,true,Exposing data on production,https://github.com/w3c/server-timing/issues/71,2020-01-21T17:50:02Z,2020-01-22T08:13:42Z,SilentImp,,0
536350985,true,Creation time of PerformanceServerTiming objects unclear,https://github.com/w3c/server-timing/issues/69,2019-12-11T12:53:18Z,2022-04-21T13:32:00Z,annevk,definition,0
536348914,false,"Multiple trailer ""chunks"" each containing server-timing",https://github.com/w3c/server-timing/issues/68,2019-12-11T12:48:59Z,2021-06-22T11:40:34Z,annevk,definition,1
528648750,true,Server Timing can be used a persistent 3rd party identifier,https://github.com/w3c/server-timing/issues/67,2019-11-26T11:00:53Z,2019-12-02T18:12:51Z,JibberJim,privacy-tracker,0
523052963,true,Using Server-timing to carry TraceID,https://github.com/w3c/server-timing/issues/65,2019-11-14T19:17:33Z,2020-06-26T10:04:04Z,plehegar,question,0
484978465,true,Support in the Firefox DevTools?,https://github.com/w3c/server-timing/issues/64,2019-08-25T21:30:06Z,2019-11-28T10:57:55Z,SilentImp,,0
404456100,true,TAO is not fully aligned with ACAO,https://github.com/w3c/server-timing/issues/63,2019-01-29T19:43:25Z,2019-01-31T15:09:05Z,youennf,,0
373807580,false,Privacy/Security Review,https://github.com/w3c/server-timing/issues/61,2018-10-25T07:24:41Z,2019-05-16T19:00:27Z,toddreifsteck,,0
337108731,true,Relax (or remove) trailer processing requirement,https://github.com/w3c/server-timing/issues/58,2018-06-29T19:16:39Z,2018-10-19T19:12:43Z,igrigorik,,1
326683256,true,Server-Timing header and opaque responses,https://github.com/w3c/server-timing/issues/56,2018-05-25T22:48:12Z,2018-10-17T04:19:55Z,youennf,,0
309765254,true,Fetch integration is missing,https://github.com/w3c/server-timing/issues/55,2018-03-29T13:57:45Z,2022-04-21T13:03:57Z,annevk,definition,1
309093860,true,Limiting sever timing to secure origins,https://github.com/w3c/server-timing/issues/54,2018-03-27T19:01:28Z,2018-10-19T19:46:52Z,valenting,,0
289731179,true,clarify extraneous characters after names,https://github.com/w3c/server-timing/issues/51,2018-01-18T18:30:29Z,2018-07-20T15:35:26Z,cvazac,,0
283970924,true,clarify invalid params,https://github.com/w3c/server-timing/issues/48,2017-12-21T18:46:30Z,2017-12-29T18:46:58Z,cvazac,,0
283586703,true,clarify incomplete params,https://github.com/w3c/server-timing/issues/46,2017-12-20T14:48:47Z,2017-12-28T15:03:41Z,cvazac,,0
281812904,false,expand description field to allow json instead of just quoted-string and token,https://github.com/w3c/server-timing/issues/45,2017-12-13T16:29:59Z,2021-06-22T11:43:03Z,colinbendell,enhancement,0
281800778,false,add total to distinguish between calendar time and effort time,https://github.com/w3c/server-timing/issues/44,2017-12-13T15:57:53Z,2023-05-01T11:51:03Z,colinbendell,enhancement,1
281781030,false,add start time to distinguish between cached and active entries,https://github.com/w3c/server-timing/issues/43,2017-12-13T15:04:23Z,2024-10-24T13:29:45Z,colinbendell,enhancement,0
275443817,true,Evaluate current parsing error strategy,https://github.com/w3c/server-timing/issues/42,2017-11-20T17:52:04Z,2022-04-21T13:03:56Z,cvazac,definition,0
271667056,true,Consider shorter names for the attributes,https://github.com/w3c/server-timing/issues/40,2017-11-07T00:16:39Z,2017-12-15T19:35:15Z,yoavweiss,,0
270988274,false,Future considerations,https://github.com/w3c/server-timing/issues/39,2017-11-03T14:01:56Z,2020-08-26T15:02:50Z,cvazac,enhancement,2
269217363,true,RT and NT processing is not well defined,https://github.com/w3c/server-timing/issues/38,2017-10-27T19:53:17Z,2022-04-27T13:21:00Z,igrigorik,definition,0
262871399,true,readdress TAO,https://github.com/w3c/server-timing/issues/35,2017-10-04T17:39:02Z,2017-11-02T21:53:17Z,cvazac,,0
257277671,true,Incorporating feedback from TAG review,https://github.com/w3c/server-timing/issues/32,2017-09-13T07:03:08Z,2017-11-03T14:04:19Z,yoavweiss,,0
244791071,false,Transition Level 1 to CR,https://github.com/w3c/server-timing/issues/24,2017-07-21T21:45:25Z,2022-06-20T15:13:04Z,igrigorik,w3c,0
244504089,true,Visualizing `value` for server timing entries,https://github.com/w3c/server-timing/issues/22,2017-07-20T21:37:46Z,2017-07-25T21:19:14Z,cvazac,,0
240872220,true,Link to a defined extension hook in Resource Timing & Nav Timing,https://github.com/w3c/server-timing/issues/19,2017-07-06T07:50:06Z,2017-11-02T21:53:49Z,igrigorik,,0
239327923,true,"Setup travis ",https://github.com/w3c/server-timing/issues/17,2017-06-28T23:39:18Z,2017-06-29T20:44:05Z,igrigorik,,0
232637644,true,Linking to ResourceTiming,https://github.com/w3c/server-timing/issues/14,2017-05-31T17:23:56Z,2017-06-28T22:30:32Z,nicjansma,,0
227183677,true,Server-Timing Headers Read from Browser Cache,https://github.com/w3c/server-timing/issues/13,2017-05-08T21:43:03Z,2017-06-13T21:04:47Z,paulcalvano,,0
219496162,true,ABNF for metric-value,https://github.com/w3c/server-timing/issues/12,2017-04-05T07:47:02Z,2017-11-02T21:51:49Z,reschke,,0
215835620,true,Spec should clarify that metrics are in seconds,https://github.com/w3c/server-timing/issues/11,2017-03-21T18:26:14Z,2017-03-22T23:11:33Z,dpogue,,0
207965492,true,Having duration with no start time makes it hard to profile servers with parallel processes.,https://github.com/w3c/server-timing/issues/10,2017-02-15T23:42:55Z,2017-06-28T21:56:50Z,aickin,,1
207347555,true,Secure context only,https://github.com/w3c/server-timing/issues/9,2017-02-13T21:41:24Z,2017-06-13T21:40:55Z,marcoscaceres,,0
206107061,true,Metric values are timestamps in PerformanceServerTiming interface,https://github.com/w3c/server-timing/issues/7,2017-02-08T06:23:21Z,2017-02-08T08:25:57Z,bripkens,,0
206054825,true,Rendering bug in the spec,https://github.com/w3c/server-timing/issues/5,2017-02-08T00:01:01Z,2017-02-15T06:49:29Z,paulirish,,0
141121256,true,Allow user to get timing information for when a metric was received,https://github.com/w3c/server-timing/issues/4,2016-03-15T22:51:31Z,2017-02-25T00:43:29Z,bmaurer,,1
113265224,true,interface ServerEntry should be renamed to PerformanServerTiming,https://github.com/w3c/server-timing/issues/3,2015-10-26T00:32:23Z,2017-06-28T21:55:03Z,plehegar,bug,0
