id,closed,title,url,created_at,updated_at,user,labels,reactions
3391724140,true,Bgc,https://github.com/w3c/web-performance/issues/63,2025-09-07T15:26:19Z,2025-09-07T15:46:50Z,Trile9502,,0
3388047000,true,T,https://github.com/w3c/web-performance/issues/62,2025-09-05T15:57:38Z,2025-09-05T16:03:49Z,Trile9502,,0
2375015956,false,Outdated links in header of working group home page,https://github.com/w3c/web-performance/issues/61,2024-06-26T10:53:43Z,2024-10-22T13:56:13Z,davehunt,,0
1892855892,false,Explicitly including reliability in scope,https://github.com/w3c/web-performance/issues/59,2023-09-12T16:21:23Z,2023-09-12T16:21:23Z,aluhrs13,,0
1821417425,true,Remove API key from the group homepage,https://github.com/w3c/web-performance/issues/57,2023-07-26T01:25:50Z,2023-09-18T12:02:21Z,xfq,,0
1666428257,true,Consider deprecating primer,https://github.com/w3c/web-performance/issues/54,2023-04-13T13:30:47Z,2023-07-06T13:02:46Z,nicjansma,Charter,0
1666407018,true,"""HR-time"" can maybe be renamed to ""time""",https://github.com/w3c/web-performance/issues/53,2023-04-13T13:18:15Z,2023-06-30T13:25:23Z,yoavweiss,Charter,1
1641113045,true,Consider including userland conventions and protocols,https://github.com/w3c/web-performance/issues/52,2023-03-26T22:10:40Z,2023-06-30T13:33:50Z,yoavweiss,Charter,0
1606872500,true,The charter should discuss open issues around privacy,https://github.com/w3c/web-performance/issues/51,2023-03-02T14:07:35Z,2023-07-06T13:39:22Z,yoavweiss,Charter|privacy-tracker,0
1601560971,true,Remove Preload from charter?,https://github.com/w3c/web-performance/issues/50,2023-02-27T16:51:10Z,2023-06-30T13:13:55Z,clelland,Charter,0
1601558182,true,Remove Page Visibility from charter?,https://github.com/w3c/web-performance/issues/49,2023-02-27T16:49:15Z,2023-06-30T12:15:23Z,clelland,Charter,0
1601554298,true,Add Event Timing to charter,https://github.com/w3c/web-performance/issues/48,2023-02-27T16:46:35Z,2023-06-30T12:14:05Z,clelland,Charter,0
1601552256,true,Add LCP to charter,https://github.com/w3c/web-performance/issues/47,2023-02-27T16:45:11Z,2023-06-30T12:14:29Z,clelland,Charter,0
1600878820,true,"""Performance APIs, security and privacy"" document",https://github.com/w3c/web-performance/issues/46,2023-02-27T10:14:25Z,2023-07-06T14:08:11Z,yoavweiss,Charter|privacy-tracker,0
1600871598,true,Privacy Preserving Monitoring,https://github.com/w3c/web-performance/issues/45,2023-02-27T10:10:13Z,2023-06-30T13:07:08Z,yoavweiss,Charter,0
